,precision,recall,f1-score,support
170,0.6666666666666666,1.0,0.8,4.0
171,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
172,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0
173,1.0,0.8333333333333334,0.9090909090909091,6.0
174,0.6666666666666666,1.0,0.8,6.0
175,1.0,0.7142857142857143,0.8333333333333334,7.0
176,1.0,1.0,1.0,7.0
177,0.8,0.8,0.8,5.0
178,0.375,0.5,0.42857142857142855,6.0
179,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0
180,1.0,0.8333333333333334,0.9090909090909091,6.0
181,1.0,1.0,1.0,4.0
182,0.875,1.0,0.9333333333333333,7.0
183,1.0,0.8333333333333334,0.9090909090909091,6.0
184,1.0,0.7142857142857143,0.8333333333333334,7.0
185,0.7777777777777778,1.0,0.875,7.0
186,1.0,0.8333333333333334,0.9090909090909091,6.0
187,1.0,1.0,1.0,8.0
188,1.0,1.0,1.0,7.0
189,0.75,0.75,0.75,4.0
190,1.0,1.0,1.0,6.0
191,0.8,1.0,0.8888888888888888,8.0
192,1.0,0.7142857142857143,0.8333333333333334,7.0
193,1.0,0.8,0.8888888888888888,5.0
194,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
195,1.0,1.0,1.0,5.0
196,1.0,0.8333333333333334,0.9090909090909091,6.0
197,0.8333333333333334,1.0,0.9090909090909091,5.0
198,0.7,1.0,0.8235294117647058,7.0
199,1.0,0.8,0.8888888888888888,5.0
accuracy,0.8812292358803987,0.8812292358803987,0.8812292358803987,0.8812292358803987
macro avg,0.8925575396825397,0.8789285714285714,0.8780978604728605,1204.0
weighted avg,0.8939932368296156,0.8812292358803987,0.8799342016852276,1204.0
